x,y,z
4.2925224,-0.010193215,-1.203637
7.46566,1.9282227,3.1330385
9.910776,5.680958,12.241316
5.222558,0.09668517,1.0445564
6.3470774,0.017586822,0.48026794
5.924416,0.59989655,0.73773104
7.1974645,0.56300676,12.76207
0.10650153,10.975991,2.5384707
0.53492945,10.682593,3.5107617
10.6289835,2.556791,11.42201
10.026087,3.7109694,12.843424
9.577709,5.569034,8.003819
9.806848,5.6962137,8.154593
-1.9942328,4.4597454,12.504887
3.8501709,-1.1164788,-0.27012345
6.027194,-0.2734824,1.1930695
6.600638,1.115178,3.6716137
4.048248,4.051248,3.8773377
1.5241148,1.9598082,13.900225
1.4670398,11.725059,2.7434056
8.259499,4.146026,7.765224
7.3779097,2.6983235,4.6022696
8.426425,3.7616985,7.5705476
12.557404,4.124653,11.421715
3.3668919,8.383261,7.9206614
8.292971,8.113264,8.741962
13.238577,3.7073464,11.996515
-5.3207436,-2.7628212,4.648171
1.7135893,-0.8310392,2.3334618
1.9618365,-0.71459943,2.4882123
12.488471,9.970471,-6.515388
17.144732,5.837544,-3.7260852
5.1692195,5.6165853,-2.8646772
14.35994,4.9930506,-6.586921
12.326955,8.733341,-8.209074
17.152441,5.306844,-4.4951105
8.205442,9.93574,-6.8917527
8.528963,10.502584,-6.4415526
-2.1251574,3.613798,13.261118
3.7114499,4.180263,1.9495995
12.252304,7.580733,-5.639829
18.724157,6.4149413,-1.7953866
9.346408,11.22104,-4.6275744
14.835769,7.8337326,-7.7393136
16.741116,6.1485558,-2.5254374
11.202217,11.868376,-4.926034
10.883793,12.021157,-4.766753
10.439074,7.0446186,-5.861415
11.854116,5.23577,-5.3700213
13.97852,4.745381,-6.205449
8.486049,11.089406,-5.101661
10.657552,5.782242,-3.391886
13.926573,9.449207,-4.086569
15.827315,7.993404,-4.190053
10.981161,4.429994,-3.6020133
10.377565,7.1064496,-6.0416937
10.963502,7.1996827,-5.5457983
12.197977,4.354447,0.48287752
16.040781,6.9887495,-5.669616
14.397937,10.999758,-2.7626264
17.443663,8.569412,-1.4983416
13.6625395,9.063689,-5.0446606
12.800801,4.6843376,-5.73325
15.090486,10.293251,-4.868501
13.377352,5.3520494,0.84185725
14.524524,9.266696,-3.356201
3.3408527,2.3880298,3.2681386
12.3966675,9.080041,-3.7412236
12.567197,6.890137,-5.394443
5.6446524,10.771856,-0.98181415
13.874339,9.14295,-4.2039843
15.865754,7.292808,-5.756818
11.722817,9.294832,-7.091735
16.12692,7.118368,-5.971171
14.5347395,7.980661,-4.223504
14.381995,9.050883,-5.027014
17.309708,5.2331824,-2.791269
18.424006,5.086393,-3.0270395
5.9199567,5.277538,-3.0233474
11.353669,5.294883,-4.4363484
8.068895,9.342675,0.37003452
17.607065,8.886803,-2.457545
12.54271,4.8022833,-6.7544966
10.69468,5.4778156,-2.3367105
11.205562,9.156296,-7.18274
15.756402,8.280987,-4.099284
11.524296,6.6171656,-4.7899604
14.952194,7.2901917,-5.6620784
13.786005,10.558948,-2.527115
14.720533,8.386904,-4.4677815
15.3701515,5.5922475,-0.8861392
13.22623,8.365861,-0.42880046
15.934278,4.7925773,-4.564118
15.380715,7.9808793,-3.97649
12.103825,7.9941874,-8.1787
17.725708,5.7753797,-1.203602
15.455785,9.744714,-4.2445664
15.887251,6.6090174,-6.654986
10.984495,5.4472594,-6.329381
9.221845,5.137623,-1.8739939
15.588778,6.796883,-7.271004
